BasketballLeague#SportsLeague
NaturalEvent#Event
Province#GovernmentalAdministrativeRegion
LunarCrater#Crater
MotorsportSeason#SportsSeason
MilitaryPerson#Person
AutomobileEngine#Engine
Archeologist#Person
Enzyme#Biomolecule
SongWriter#Writer
Square#ArchitecturalStructure
University#EducationalInstitution
TelevisionShow#Work
LaunchPad#Infrastructure
CyclingLeague#SportsLeague
Territory#PopulatedPlace
CurlingLeague#SportsLeague
GatedCommunity#PopulatedPlace
MusicFestival#SocietalEvent
Tax#TopicalConcept
Racecourse#RaceTrack
Dancer#Artist
IceHockeyPlayer#WinterSportPlayer
PublicTransitSystem#Organisation
BloodVessel#AnatomicalStructure
FootballMatch#SportsEvent
MouseGeneLocation#GeneLocation
MilitaryConflict#SocietalEvent
StatedResolution#WrittenWork
Tram#MeanOfTransportation
FilmFestival#SocietalEvent
TheatreDirector#Person
Beverage#Food
SpaceShuttle#MeanOfTransportation
EmployersOrganisation#Organisation
Prison#Building
Archaea#Species
HandballPlayer#Athlete
Religious#Person
Arachnid#Animal
Department#GovernmentalAdministrativeRegion
CardinalDirection#TopicalConcept
Painter#Artist
LineOfFashion#Work
Park#Place
CyclingTeam#SportsTeam
WaterRide#AmusementParkAttraction
MilitaryVehicle#MeanOfTransportation
ArtisticGenre#Genre
Cricketer#Athlete
FloweringPlant#Plant
TelevisionEpisode#Work
Baronet#BritishRoyalty
Canton#GovernmentalAdministrativeRegion
Gnetophytes#Plant
Jockey#Athlete
ScientificConcept#TopicalConcept
Soccer#TeamSport
Tower#ArchitecturalStructure
Protein#Biomolecule
HumanGeneLocation#GeneLocation
SpeedwayTeam#SportsTeam
ChristianPatriarch#Cleric
GovernmentType#Type
Town#Settlement
RomanEmperor#Person
ReligiousBuilding#Building
MotorcycleRider#MotorsportRacer
ClericalAdministrativeRegion#AdministrativeRegion
BusCompany#Company
PowerStation#Infrastructure
Engineer#Person
Birth#PersonalEvent
SumoWrestler#Wrestler
InternationalOrganisation#Organisation
HighDiver#Athlete
FormulaOneRacer#RacingDriver
Conifer#Plant
SpeedwayLeague#SportsLeague
